sequence_id	reference_id	match_type	coverage	length
all_tps|SRR13068651_NODE_3186_length_4754_cov_19.985760_g922_i4_3	PkuTC-2	near_duplicate	19.98576	412
all_tps|SRR13068651_NODE_3186_length_4754_cov_19.985760_g922_i4_3	PhoTC-2	exact	19.98576	412
all_tps|SRR13068651_NODE_3186_length_4754_cov_19.985760_g922_i4_3	S_PkTC-2	near_duplicate	19.98576	412
all_tps|SRR13068651_NODE_3186_length_4754_cov_19.985760_g922_i4_3	PkuTC-1	near_duplicate	19.98576	412
all_tps|SRR15783032_NODE_29565_length_1834_cov_19.863714_g20238_i0_1	EcTPS-1	near_duplicate	19.863714	407
all_tps|SRR15783032_NODE_29565_length_1834_cov_19.863714_g20238_i0_1	ErycarTC-1	near_duplicate	19.863714	407
all_tps|ERR4669814_NODE_28423_length_2113_cov_14.561047_g14889_i0_1	AbTPS	near_duplicate	14.561047	420
all_tps|ERR4669814_NODE_28423_length_2113_cov_14.561047_g14889_i0_1	AbTC-1	near_duplicate	14.561047	420
all_tps|ERR4669814_NODE_2575_length_6439_cov_14.400469_g623_i2_4	S_AbTC-1	near_duplicate	14.400469	408
all_tps|ERR4669814_NODE_2575_length_6439_cov_14.400469_g623_i2_4	AbTC-4	near_duplicate	14.400469	408
all_tps|ERR4669814_NODE_1232_length_8099_cov_14.198758_g623_i0_3	S_AbTC-1	near_duplicate	14.198758	408
all_tps|ERR4669814_NODE_1232_length_8099_cov_14.198758_g623_i0_3	AbTC-4	near_duplicate	14.198758	408
all_tps|ERR4669814_NODE_1383_length_7815_cov_13.917589_g623_i1_3	S_AbTC-1	near_duplicate	13.917589	408
all_tps|ERR4669814_NODE_1383_length_7815_cov_13.917589_g623_i1_3	AbTC-4	near_duplicate	13.917589	408
all_tps|SRR12573944_NODE_9952_length_2159_cov_12.348341_g7958_i0_1	S_StTC-1-cembreneC	near_duplicate	12.348341	413
all_tps|SRR12573944_NODE_9952_length_2159_cov_12.348341_g7958_i0_1	StTC-1-cembreneC	near_duplicate	12.348341	413
all_tps|ERR4669814_NODE_34617_length_1857_cov_11.884956_g18826_i0_1	S_AbTC-2-cembreneA	near_duplicate	11.884956	402
all_tps|ERR4669814_NODE_34617_length_1857_cov_11.884956_g18826_i0_1	AbTC-2-cembreneA	near_duplicate	11.884956	402
all_tps|ERR3026435_NODE_11870_length_1607_cov_11.217997_g9475_i0_1	TmTC-1-Cembrene_A	exact	11.217997	411
