sequence_id	source	candidate_group	embedding_group	embedding_method	axis1_label	axis2_label	axis3_label	axis1	axis2	axis3	pc1	pc2	pc3
PtmT2	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.74132	-0.383233	4.612457	-7.74132	-0.383233	4.612457
PtmT3	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.862982	-0.487401	6.43948	-7.862982	-0.487401	6.43948
CotB2	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.841763	-0.402736	5.526812	-7.841763	-0.402736	5.526812
Sclav_p0765	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.731554	2.02079	6.893332	-7.731554	2.02079	6.893332
Sclav_p1169	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.952873	1.816793	6.847559	-7.952873	1.816793	6.847559
Stsu_20912	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.99039	1.737257	6.841517	-7.99039	1.737257	6.841517
Nd90_0354	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.379465	1.855546	7.609296	-7.379465	1.855546	7.609296
Slt18_1078	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.418015	1.566795	8.185992	-7.418015	1.566795	8.185992
AriE	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.050696	2.868483	7.111189	-8.050696	2.868483	7.111189
TiqS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.037626	2.146412	7.980894	-8.037626	2.146412	7.980894
Cpt11	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.724097	-0.403476	4.366947	-7.724097	-0.403476	4.366947
Cts11	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.888241	0.088692	6.744975	-7.888241	0.088692	6.744975
VenA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.789236	2.142482	6.617579	-7.789236	2.142482	6.617579
AlbS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.975181	2.343289	5.58561	-7.975181	2.343289	5.58561
AriT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.050696	2.868483	7.111189	-8.050696	2.868483	7.111189
EuoT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.043221	2.412193	7.563743	-8.043221	2.412193	7.563743
CpDTS1	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.31451	3.527384	6.993534	-7.31451	3.527384	6.993534
CpDTS2	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.087659	3.35946	7.035532	-8.087659	3.35946	7.035532
AbPS1	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.194037	2.18368	6.792991	-7.194037	2.18368	6.792991
AbPS2	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.268942	2.458715	6.289517	-7.268942	2.458715	6.289517
AsSS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.934879	1.385156	6.105358	-7.934879	1.385156	6.105358
CvSS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.357449	1.125336	7.017922	-7.357449	1.125336	7.017922
MicA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.109167	3.609729	7.45743	-8.109167	3.609729	7.45743
DgTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.723271	0.71616	0.171505	20.723271	0.71616	0.171505
GvTC-3	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	22.206884	0.541321	0.229124	22.206884	0.541321	0.229124
gGvTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	22.17088	0.538661	0.228955	22.17088	0.538661	0.228955
PbTC-2	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.88367	-0.583603	-3.51915	15.88367	-0.583603	-3.51915
PcTC-4	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.578542	0.600371	-0.020092	21.578542	0.600371	-0.020092
TspTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	22.376072	0.716227	0.239551	22.376072	0.716227	0.239551
TspTC-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	22.253811	0.539023	0.127449	22.253811	0.539023	0.127449
TspTC-10	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	22.253811	0.539023	0.127449	22.253811	0.539023	0.127449
EfTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.479174	0.326799	0.506251	21.479174	0.326799	0.506251
EcTC-1k	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.495551	0.476765	0.26537	21.495551	0.476765	0.26537
EcTC-1l	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.495551	0.476765	0.26537	21.495551	0.476765	0.26537
EcTC-1f	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.456531	0.475043	0.299239	21.456531	0.475043	0.299239
EcTC-1j	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.488473	0.476069	0.305115	21.488473	0.476069	0.305115
PkuTC-7	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.508446	0.470143	0.330337	21.508446	0.470143	0.330337
PkuTC-5	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.228576	0.490864	0.382658	21.228576	0.490864	0.382658
PkuTC-6	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.255303	0.490307	0.376066	21.255303	0.490307	0.376066
PkuTC-10	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.502218	0.542707	0.22143	21.502218	0.542707	0.22143
PkuTC-9	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.48063	0.582918	0.344531	21.48063	0.582918	0.344531
PkuTC-4	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.472568	0.54884	0.315354	21.472568	0.54884	0.315354
S_PkTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.472646	0.539922	0.31284	21.472646	0.539922	0.31284
PkuTC-8	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.472527	0.540502	0.315066	21.472527	0.540502	0.315066
PkuTC-3	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.499632	0.541194	0.318671	21.499632	0.541194	0.318671
PhoTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.488459	0.540501	0.315328	21.488459	0.540501	0.315328
EcTC-1b	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.421922	0.603381	0.212587	21.421922	0.603381	0.212587
EcTC-1a	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.944904	0.556581	0.237493	21.944904	0.556581	0.237493
EcTC-1c	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.944904	0.556581	0.237493	21.944904	0.556581	0.237493
EcTC-1e	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.964305	0.554392	0.227684	21.964305	0.554392	0.227684
EcTC-1h	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.789192	0.339086	0.583936	21.789192	0.339086	0.583936
EcTC-1i	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.781787	0.339047	0.583997	21.781787	0.339047	0.583997
EcTC-1d	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.856371	0.551752	0.263472	21.856371	0.551752	0.263472
EcTC-1g	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.681117	0.342099	0.611826	21.681117	0.342099	0.611826
McTC-1	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.954755	-0.710253	-3.288738	15.954755	-0.710253	-3.288738
PkuTC-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.138576	0.534925	0.259988	20.138576	0.534925	0.259988
PhoTC-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.316698	0.583896	0.22674	20.316698	0.583896	0.22674
S_PkTC-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.308053	0.581939	0.224843	20.308053	0.581939	0.224843
PkuTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.307897	0.583733	0.225478	20.307897	0.583733	0.225478
S_PsTC-1	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.863882	-0.761077	-3.438516	15.863882	-0.761077	-3.438516
CsTC-1	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.863882	-0.761077	-3.438516	15.863882	-0.761077	-3.438516
RhTPS	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	16.023528	-0.868579	-3.296328	16.023528	-0.868579	-3.296328
RsTC-1	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	16.023528	-0.868579	-3.296328	16.023528	-0.868579	-3.296328
SCB-157_TC3	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	16.207359	-0.705096	-3.550024	16.207359	-0.705096	-3.550024
SCB-144_TC3	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	16.32647	-0.866444	-3.252744	16.32647	-0.866444	-3.252744
HcTC-3g-4	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	16.142365	-0.687485	-3.423388	16.142365	-0.687485	-3.423388
g25402.t1	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.188472	-0.725262	-3.428862	15.188472	-0.725262	-3.428862
HcTC-3g-3	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.225811	0.471735	0.140062	21.225811	0.471735	0.140062
HcTC-3_1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.28744	0.485174	0.175823	21.28744	0.485174	0.175823
HcTC-3_2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.28744	0.485174	0.175823	21.28744	0.485174	0.175823
HcTC-3g-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.279095	0.492758	0.199252	21.279095	0.492758	0.199252
HcTC-3g-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.200774	0.488937	0.204979	21.200774	0.488937	0.204979
NA-045_TC-3	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.975749	0.527218	0.019406	20.975749	0.527218	0.019406
PbTC-1_1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.241273	0.551219	0.071042	21.241273	0.551219	0.071042
PbTC-1_2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.241273	0.551219	0.071042	21.241273	0.551219	0.071042
PcTS-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.256515	0.547489	0.074242	21.256515	0.547489	0.074242
PcTC-3	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.256515	0.547489	0.074242	21.256515	0.547489	0.074242
TP2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.126953	0.578797	0.033952	21.126953	0.578797	0.033952
AeTPS	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.127258	0.573049	0.036165	21.127258	0.573049	0.036165
AeTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.119625	0.573	0.036533	21.119625	0.573	0.036533
AbTPS	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.823727	0.576189	0.111433	20.823727	0.576189	0.111433
AbTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.866133	0.580055	0.11007	20.866133	0.580055	0.11007
GvTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.823759	0.515516	0.065979	20.823759	0.515516	0.065979
gGvTC-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.772689	0.53171	-0.012426	20.772689	0.53171	-0.012426
SCB-157_TC7	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	6.304717	-0.573664	-0.377638	6.304717	-0.573664	-0.377638
EvTC-2	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	16.259262	-0.667156	-3.391173	16.259262	-0.667156	-3.391173
VgTC-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.935256	0.469554	0.090911	20.935256	0.469554	0.090911
S_EsTC-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.785311	0.539834	0.069615	20.785311	0.539834	0.069615
BaTC-2_1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.911757	0.60914	0.018358	20.911757	0.60914	0.018358
BaTC-2_2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.911757	0.60914	0.018358	20.911757	0.60914	0.018358
BsTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.845158	0.56826	0.001624	20.845158	0.56826	0.001624
EcTPS-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.72702	0.720318	0.246611	20.72702	0.720318	0.246611
ErycarTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.72702	0.720318	0.246611	20.72702	0.720318	0.246611
S_CdTC-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.636223	0.624846	0.203599	20.636223	0.624846	0.203599
CdTC-3	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.636223	0.624846	0.203599	20.636223	0.624846	0.203599
SCB-144_TC7	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	21.543808	0.542175	0.090611	21.543808	0.542175	0.090611
NA-218_TC-2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	9.616855	-0.407446	-0.025479	9.616855	-0.407446	-0.025479
S_StTC-1-cembreneC	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	14.669519	-0.701393	-3.350824	14.669519	-0.701393	-3.350824
StTC-1-cembreneC	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	14.669519	-0.701393	-3.350824	14.669519	-0.701393	-3.350824
NA-045_TC-2	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.442251	-0.665909	-3.629823	15.442251	-0.665909	-3.629823
PbTC-3	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.329782	-0.683072	-3.408488	15.329782	-0.683072	-3.408488
EvTC-1	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.156016	-0.543643	-3.469919	15.156016	-0.543643	-3.469919
NA-141_TC4-cembreneA	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.395055	-0.617051	-3.554298	15.395055	-0.617051	-3.554298
NA-047_TC3-cembreneA	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.376009	-0.617142	-3.55389	15.376009	-0.617142	-3.55389
gGvTC-3	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	14.696647	-0.625264	-3.295647	14.696647	-0.625264	-3.295647
gGvTC-5	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	14.94972	-0.619306	-3.210321	14.94972	-0.619306	-3.210321
S_AbTC-2-cembreneA	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	14.782496	-0.5589	-3.486424	14.782496	-0.5589	-3.486424
AbTC-2-cembreneA	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	14.736819	-0.542842	-3.515674	14.736819	-0.542842	-3.515674
DgTC-2-cembreneA	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	14.566573	-0.587911	-3.432493	14.566573	-0.587911	-3.432493
ErTC-2-cembreneA	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.414558	-0.906355	-3.257305	15.414558	-0.906355	-3.257305
TspTC-12	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.499769	-0.593775	-3.827471	15.499769	-0.593775	-3.827471
SCB-084_TC3	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.516079	-0.605279	-3.81146	15.516079	-0.605279	-3.81146
S_BaTC-1	coral		ref:coral:tps_subclade_5	lda_reference_subclade_spread	LD1	LD2	LD3	13.242926	0.024718	3.64946	13.242926	0.024718	3.64946
BaTC-1-cembreneA	coral		ref:coral:tps_subclade_5	lda_reference_subclade_spread	LD1	LD2	LD3	14.481741	-0.095911	3.513752	14.481741	-0.095911	3.513752
BaTC-2_3	coral		ref:coral:tps_subclade_5	lda_reference_subclade_spread	LD1	LD2	LD3	14.186073	-0.096899	3.536782	14.186073	-0.096899	3.536782
ErycarTC-2	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	13.847268	-0.519148	-3.632944	13.847268	-0.519148	-3.632944
HcTC-4g	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.580883	0.639385	0.031593	20.580883	0.639385	0.031593
g34691.t1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.580883	0.639385	0.031593	20.580883	0.639385	0.031593
HcTC-1_1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.408341	0.505919	0.389231	20.408341	0.505919	0.389231
HcTC-1_2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.408341	0.505919	0.389231	20.408341	0.505919	0.389231
HcTC-1g	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.425091	0.502613	0.371594	20.425091	0.502613	0.371594
g13994.t1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.422301	0.545718	0.385386	20.422301	0.545718	0.385386
ClTC-1	coral		ref:coral:tps_subclade_5	lda_reference_subclade_spread	LD1	LD2	LD3	15.232269	-0.453716	3.817203	15.232269	-0.453716	3.817203
S_CdTC-3	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	11.42132	-0.503953	-0.051922	11.42132	-0.503953	-0.051922
CdTC-4	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	14.598314	-0.700118	-3.09327	14.598314	-0.700118	-3.09327
SCB-157_TC8	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	14.121756	-0.611716	-3.812593	14.121756	-0.611716	-3.812593
S_ClTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.877177	0.585841	0.096207	20.877177	0.585841	0.096207
ClTC-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.877031	0.587708	0.096521	20.877031	0.587708	0.096521
CdTC-2-cembrene-cembreneA-cembreneC	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.889196	-0.616474	-3.415037	15.889196	-0.616474	-3.415037
CdTC-1a	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.257529	0.66989	-0.077066	20.257529	0.66989	-0.077066
S_CdTC-4	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.24133	0.670213	-0.084456	20.24133	0.670213	-0.084456
CdTC-1b	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.31213	0.673271	-0.088172	20.31213	0.673271	-0.088172
CdTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.326028	0.673343	-0.088405	20.326028	0.673343	-0.088405
S_PsTC-2	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.137644	-0.589365	-3.425901	15.137644	-0.589365	-3.425901
CsTC-2	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.204507	-0.605038	-3.404064	15.204507	-0.605038	-3.404064
SCB-157_TC5	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.122489	0.75587	0.212716	20.122489	0.75587	0.212716
SCB-144_TC4	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	15.176873	-0.586125	-3.275823	15.176873	-0.586125	-3.275823
SCB-157_TC6	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.095427	0.614488	0.2899	20.095427	0.614488	0.2899
S_RsTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.573918	0.616209	-0.047221	20.573918	0.616209	-0.047221
SCB-144_TC2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.498431	0.673098	-0.077697	20.498431	0.673098	-0.077697
SCB-144_TC1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.949594	0.689332	0.029875	20.949594	0.689332	0.029875
SCB-157_TC1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.867186	0.696222	-0.017416	20.867186	0.696222	-0.017416
gCspTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	20.75303	0.761933	-0.051638	20.75303	0.761933	-0.051638
XsTC-1_1	coral		ref:coral:tps_subclade_5	lda_reference_subclade_spread	LD1	LD2	LD3	14.686799	-0.431647	3.522972	14.686799	-0.431647	3.522972
XsTC-1_2	coral		ref:coral:tps_subclade_5	lda_reference_subclade_spread	LD1	LD2	LD3	14.678438	-0.430001	3.539975	14.678438	-0.430001	3.539975
S_EsTC-1	coral		ref:coral:tps_subclade_5	lda_reference_subclade_spread	LD1	LD2	LD3	15.235969	0.066164	3.377869	15.235969	0.066164	3.377869
