sequence_id	candidate_group	predicted_source	nearest_reference_source	nearest_distance	embedding_group	embedding_method	axis1	axis2	axis3	pc1	pc2	pc3
all_tps|ERR3026435_NODE_15632_length_1375_cov_67.028975_g12576_i0_1	candidate_non_ceess	coral	coral	0.044337	candidate_non_ceess	lda_reference_subclade_spread	-33.831271	-0.0	3.311196	-33.831271	-0.0	3.311196
all_tps|SRR13068648_NODE_5499_length_3587_cov_61.901639_g3097_i0_1	candidate_non_ceess	coral	coral	0.0	candidate_non_ceess	lda_reference_subclade_spread	-35.433969	-0.0	3.296512	-35.433969	-0.0	3.296512
all_tps|SRR15783032_NODE_22018_length_2147_cov_59.377049_g14831_i0_1	candidate_non_ceess	coral	coral	0.092336	candidate_non_ceess	lda_reference_subclade_spread	-32.359921	-0.0	3.27802	-32.359921	-0.0	3.27802
all_tps|SRR15421489_NODE_21571_length_2301_cov_55.607904_g7986_i0_1	candidate_non_ceess	coral	coral	0.0	candidate_non_ceess	lda_reference_subclade_spread	-36.08485	-0.0	3.303953	-36.08485	-0.0	3.303953
all_tps|SRR15783032_NODE_15046_length_2580_cov_53.078580_g9995_i0_1	candidate_non_ceess	coral	coral	0.058686	candidate_non_ceess	lda_reference_subclade_spread	-34.410855	-0.0	3.816702	-34.410855	-0.0	3.816702
all_tps|SRR15421486_NODE_27193_length_1946_cov_45.933579_g12305_i0_1	candidate_non_ceess	coral	coral	0.245316	candidate_non_ceess	lda_reference_subclade_spread	-34.070709	-0.0	3.081442	-34.070709	-0.0	3.081442
all_tps|ERR4669811_NODE_41483_length_2142_cov_39.915910_g18335_i0_1	candidate_ceess	coral	coral	0.0	candidate_ceess	lda_reference_subclade_spread	-15.211346	-0.0	-9.320751	-15.211346	-0.0	-9.320751
all_tps|SRR17260582_NODE_21309_length_1893_cov_32.774725_g9463_i0_1	candidate_non_ceess	coral	coral	0.0	candidate_non_ceess	lda_reference_subclade_spread	-35.81217	-0.0	3.340125	-35.81217	-0.0	3.340125
all_tps|SRR13068648_NODE_4158_length_4077_cov_31.377358_g101_i2_1	candidate_non_ceess	coral	coral	0.0	candidate_non_ceess	lda_reference_subclade_spread	-36.764697	-0.0	3.255751	-36.764697	-0.0	3.255751
all_tps|SRR15783032_NODE_36846_length_1593_cov_28.878947_g25566_i0_1	candidate_ceess	coral	coral	0.002548	candidate_ceess	lda_reference_subclade_spread	-11.873769	-0.0	-9.695246	-11.873769	-0.0	-9.695246
all_tps|SRR17260582_NODE_24162_length_1699_cov_25.423124_g9486_i1_1	candidate_non_ceess	coral	coral	0.017911	candidate_non_ceess	lda_reference_subclade_spread	-35.304404	-0.0	3.373114	-35.304404	-0.0	3.373114
all_tps|SRR15421486_NODE_26714_length_1967_cov_25.068300_g12080_i0_2	candidate_non_ceess	coral	coral	0.140494	candidate_non_ceess	lda_reference_subclade_spread	-34.656216	-0.0	3.262525	-34.656216	-0.0	3.262525
all_tps|ERR4669811_NODE_55110_length_1727_cov_22.428486_g26218_i0_1	candidate_non_ceess	coral	coral	0.0	candidate_non_ceess	lda_reference_subclade_spread	-36.360611	-0.0	3.28644	-36.360611	-0.0	3.28644
all_tps|SRR17260582_NODE_21358_length_1890_cov_21.439185_g9486_i0_1	candidate_non_ceess	coral	coral	0.035657	candidate_non_ceess	lda_reference_subclade_spread	-35.408654	-0.0	3.246368	-35.408654	-0.0	3.246368
all_tps|SRR13068648_NODE_17151_length_1903_cov_21.417476_g9532_i0_1	candidate_non_ceess	coral	coral	0.038568	candidate_non_ceess	lda_reference_subclade_spread	-36.650426	-0.0	3.209806	-36.650426	-0.0	3.209806
all_tps|SRR15421489_NODE_43178_length_1425_cov_20.694767_g16932_i0_1	candidate_non_ceess	coral	coral	0.025517	candidate_non_ceess	lda_reference_subclade_spread	-34.429688	-0.0	3.303058	-34.429688	-0.0	3.303058
all_tps|SRR15783032_NODE_29565_length_1834_cov_19.863714_g20238_i0_1	candidate_non_ceess	coral	coral	0.002581	candidate_non_ceess	lda_reference_subclade_spread	-35.91754	-0.0	3.419364	-35.91754	-0.0	3.419364
all_tps|SRR12876613_NODE_4686_length_1645_cov_18.020677_g4683_i0_2	candidate_non_ceess	coral	coral	0.046282	candidate_non_ceess	lda_reference_subclade_spread	-36.727505	-0.0	3.073759	-36.727505	-0.0	3.073759
all_tps|SRR17260582_NODE_25295_length_1625_cov_14.597938_g11165_i0_1	candidate_non_ceess	coral	coral	0.031009	candidate_non_ceess	lda_reference_subclade_spread	-35.504925	-0.0	3.243105	-35.504925	-0.0	3.243105
all_tps|ERR4669814_NODE_28423_length_2113_cov_14.561047_g14889_i0_1	candidate_non_ceess	coral	coral	0.021891	candidate_non_ceess	lda_reference_subclade_spread	-36.0636	-0.0	3.288243	-36.0636	-0.0	3.288243
all_tps|ERR4669814_NODE_2575_length_6439_cov_14.400469_g623_i2_4	candidate_non_ceess	coral	coral	0.150668	candidate_non_ceess	lda_reference_subclade_spread	-36.027143	-0.0	3.362058	-36.027143	-0.0	3.362058
all_tps|SRR12573944_NODE_9952_length_2159_cov_12.348341_g7958_i0_1	candidate_ceess	coral	coral	0.022728	candidate_ceess	lda_reference_subclade_spread	-14.482477	-0.0	-9.54943	-14.482477	-0.0	-9.54943
all_tps|SRR15783032_NODE_54800_length_1142_cov_12.321796_g11615_i3_1	candidate_non_ceess	coral	coral	0.312382	candidate_non_ceess	lda_reference_subclade_spread	-29.131453	-0.0	2.889479	-29.131453	-0.0	2.889479
all_tps|SRR15421489_NODE_43185_length_1425_cov_12.231105_g16935_i0_1	candidate_non_ceess	coral	coral	0.163521	candidate_non_ceess	lda_reference_subclade_spread	-34.970631	-0.0	3.220683	-34.970631	-0.0	3.220683
all_tps|ERR4669814_NODE_34617_length_1857_cov_11.884956_g18826_i0_1	candidate_ceess	coral	coral	0.011992	candidate_ceess	lda_reference_subclade_spread	-14.598303	-0.0	-9.42191	-14.598303	-0.0	-9.42191
all_tps|ERR3026435_NODE_11870_length_1607_cov_11.217997_g9475_i0_1	candidate_ceess	coral	coral	0.0	candidate_ceess	lda_reference_subclade_spread	-15.462351	-0.0	-9.625699	-15.462351	-0.0	-9.625699
