sequence_id	source	candidate_group	embedding_group	embedding_method	axis1_label	axis2_label	axis3_label	axis1	axis2	axis3	pc1	pc2	pc3
AriE	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.394001	0.0	4.327209	17.394001	0.0	4.327209
TiqS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.386452	0.0	3.711792	17.386452	0.0	3.711792
Cpt11	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.096343	0.0	1.604097	17.096343	0.0	1.604097
Cts11	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.235938	0.0	2.025161	17.235938	0.0	2.025161
VenA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.112808	0.0	3.701544	17.112808	0.0	3.701544
AlbS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.318636	0.0	3.893334	17.318636	0.0	3.893334
AriT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.394001	0.0	4.327209	17.394001	0.0	4.327209
EuoT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.383841	0.0	3.960164	17.383841	0.0	3.960164
CpDTS1	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	16.536329	0.0	4.886256	16.536329	0.0	4.886256
CpDTS2	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.422508	0.0	4.749139	17.422508	0.0	4.749139
AbPS1	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	16.415926	0.0	3.757645	16.415926	0.0	3.757645
AbPS2	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	16.50124	0.0	3.983186	16.50124	0.0	3.983186
AsSS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.278606	0.0	3.112569	17.278606	0.0	3.112569
CvSS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	16.621972	0.0	2.876086	16.621972	0.0	2.876086
MicA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.447966	0.0	4.945093	17.447966	0.0	4.945093
DgTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.167014	0.0	-4.635845	-25.167014	0.0	-4.635845
GvTC-3	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.858704	0.0	-4.798742	-26.858704	0.0	-4.798742
gGvTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.817693	0.0	-4.800769	-26.817693	0.0	-4.800769
PbTC-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-23.656599	-0.0	3.727061	-23.656599	-0.0	3.727061
PcTC-4	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.141043	0.0	-4.745456	-26.141043	0.0	-4.745456
TspTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-27.056371	0.0	-4.645231	-27.056371	0.0	-4.645231
TspTC-2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.912568	0.0	-4.799761	-26.912568	0.0	-4.799761
TspTC-10	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.912568	0.0	-4.799761	-26.912568	0.0	-4.799761
EfTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.024832	0.0	-4.974591	-26.024832	0.0	-4.974591
EcTC-1k	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.044657	0.0	-4.849346	-26.044657	0.0	-4.849346
EcTC-1l	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.044657	0.0	-4.849346	-26.044657	0.0	-4.849346
EcTC-1f	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.000058	0.0	-4.850947	-26.000058	0.0	-4.850947
EcTC-1j	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.036591	0.0	-4.850284	-26.036591	0.0	-4.850284
PkuTC-7	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.059105	0.0	-4.855493	-26.059105	0.0	-4.855493
PkuTC-5	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.739462	0.0	-4.837969	-25.739462	0.0	-4.837969
PkuTC-6	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.77	0.0	-4.83846	-25.77	0.0	-4.83846
PkuTC-10	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.052437	0.0	-4.794921	-26.052437	0.0	-4.794921
PkuTC-9	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.028207	0.0	-4.763111	-26.028207	0.0	-4.763111
PkuTC-4	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.018689	0.0	-4.790718	-26.018689	0.0	-4.790718
S_PkTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.018856	0.0	-4.797988	-26.018856	0.0	-4.797988
PkuTC-8	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.018575	0.0	-4.797548	-26.018575	0.0	-4.797548
PkuTC-3	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.049579	0.0	-4.797118	-26.049579	0.0	-4.797118
PhoTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.036792	0.0	-4.797611	-26.036792	0.0	-4.797611
EcTC-1b	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.961247	0.0	-4.744796	-25.961247	0.0	-4.744796
EcTC-1a	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.558953	0.0	-4.78536	-26.558953	0.0	-4.78536
EcTC-1c	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.558953	0.0	-4.78536	-26.558953	0.0	-4.78536
EcTC-1e	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.581106	0.0	-4.787129	-26.581106	0.0	-4.787129
EcTC-1h	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.379521	0.0	-4.966458	-26.379521	0.0	-4.966458
EcTC-1i	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.371056	0.0	-4.966463	-26.371056	0.0	-4.966463
EcTC-1d	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.45771	0.0	-4.789243	-26.45771	0.0	-4.789243
EcTC-1g	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.255973	0.0	-4.963861	-26.255973	0.0	-4.963861
McTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.855178	0.0	-4.88076	-24.855178	0.0	-4.88076
PkuTC-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-23.368539	-0.0	3.704377	-23.368539	-0.0	3.704377
PhoTC-2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.697917	0.0	-4.7567	-24.697917	0.0	-4.7567
S_PkTC-2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.688171	0.0	-4.758239	-24.688171	0.0	-4.758239
PkuTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.687848	0.0	-4.756788	-24.687848	0.0	-4.756788
S_PsTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.750523	0.0	-4.920591	-24.750523	0.0	-4.920591
CsTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.750523	0.0	-4.920591	-24.750523	0.0	-4.920591
RhTPS	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.931896	0.0	-5.010743	-24.931896	0.0	-5.010743
RsTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.931896	0.0	-5.010743	-24.931896	0.0	-5.010743
SCB-157_TC3	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.143307	0.0	-4.874923	-25.143307	0.0	-4.874923
SCB-144_TC3	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.278853	0.0	-5.010525	-25.278853	0.0	-5.010525
HcTC-3g-4	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.070223	0.0	-4.861426	-25.070223	0.0	-4.861426
g25402.t1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.856874	-0.0	3.612378	-22.856874	-0.0	3.612378
HcTC-3g-3	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.736837	0.0	-4.851142	-25.736837	0.0	-4.851142
HcTC-3_1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.807294	0.0	-4.840728	-25.807294	0.0	-4.840728
HcTC-3_2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.807294	0.0	-4.840728	-25.807294	0.0	-4.840728
HcTC-3g-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.798002	0.0	-4.834702	-25.798002	0.0	-4.834702
HcTC-3g-2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.708417	0.0	-4.837596	-25.708417	0.0	-4.837596
NA-045_TC-3	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.450381	0.0	-4.803601	-25.450381	0.0	-4.803601
PbTC-1_1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.754106	0.0	-4.785455	-25.754106	0.0	-4.785455
PbTC-1_2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.754106	0.0	-4.785455	-25.754106	0.0	-4.785455
PcTS-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.771671	0.0	-4.788588	-25.771671	0.0	-4.788588
PcTC-3	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.771671	0.0	-4.788588	-25.771671	0.0	-4.788588
TP2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.622588	0.0	-4.762138	-25.622588	0.0	-4.762138
AeTPS	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.623214	0.0	-4.766844	-25.623214	0.0	-4.766844
AeTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.61449	0.0	-4.766859	-25.61449	0.0	-4.766859
AbTPS	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.277795	0.0	-4.756933	-25.277795	0.0	-4.756933
AbTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.326318	0.0	-4.753836	-25.326318	0.0	-4.753836
GvTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.276209	0.0	-4.81311	-25.276209	0.0	-4.81311
gGvTC-2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.218019	0.0	-4.798854	-25.218019	0.0	-4.798854
SCB-157_TC7	coral		ref:coral:tps_subclade_2	lda_reference_subclade_spread	LD1	LD2	LD3	-4.727286	0.0	1.580832	-4.727286	0.0	1.580832
EvTC-2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.204427	0.0	-4.845499	-25.204427	0.0	-4.845499
VgTC-2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.405144	0.0	-4.851295	-25.405144	0.0	-4.851295
S_EsTC-2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.234221	0.0	-4.792926	-25.234221	0.0	-4.792926
BaTC-2_1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.379138	0.0	-4.736108	-25.379138	0.0	-4.736108
BaTC-2_2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.379138	0.0	-4.736108	-25.379138	0.0	-4.736108
BsTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.302816	0.0	-4.769179	-25.302816	0.0	-4.769179
EcTPS-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.171757	0.0	-4.635249	-25.171757	0.0	-4.635249
ErycarTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.171757	0.0	-4.635249	-25.171757	0.0	-4.635249
S_CdTC-2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.066049	0.0	-4.713175	-25.066049	0.0	-4.713175
CdTC-3	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.066049	0.0	-4.713175	-25.066049	0.0	-4.713175
SCB-144_TC7	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-26.101301	0.0	-4.794091	-26.101301	0.0	-4.794091
NA-218_TC-2	coral		ref:coral:tps_subclade_5	lda_reference_subclade_spread	LD1	LD2	LD3	-13.513474	0.0	2.670608	-13.513474	0.0	2.670608
S_StTC-1-cembreneC	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.26129	-0.0	3.63291	-22.26129	-0.0	3.63291
StTC-1-cembreneC	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.26129	-0.0	3.63291	-22.26129	-0.0	3.63291
NA-045_TC-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-23.14587	-0.0	3.661943	-23.14587	-0.0	3.661943
PbTC-3	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-23.017695	-0.0	3.646125	-23.017695	-0.0	3.646125
EvTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.819366	-0.0	3.771511	-22.819366	-0.0	3.771511
NA-141_TC4-cembreneA	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-23.09237	-0.0	3.701408	-23.09237	-0.0	3.701408
NA-047_TC3-cembreneA	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-23.070594	-0.0	3.7014	-23.070594	-0.0	3.7014
gGvTC-3	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.293791	-0.0	3.694714	-22.293791	-0.0	3.694714
gGvTC-5	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.583489	-0.0	3.69781	-22.583489	-0.0	3.69781
S_AbTC-2-cembreneA	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.393055	-0.0	3.756236	-22.393055	-0.0	3.756236
AbTC-2-cembreneA	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.341451	-0.0	3.77014	-22.341451	-0.0	3.77014
DgTC-2-cembreneA	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.145188	-0.0	3.727174	-22.145188	-0.0	3.727174
ErTC-2-cembreneA	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-23.113321	-0.0	3.461349	-23.113321	-0.0	3.461349
TspTC-12	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-23.208281	-0.0	3.722499	-23.208281	-0.0	3.722499
SCB-084_TC3	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-23.226858	-0.0	3.712852	-23.226858	-0.0	3.712852
S_BaTC-1	coral		ref:coral:tps_subclade_5	lda_reference_subclade_spread	LD1	LD2	LD3	-14.245422	0.0	3.175501	-14.245422	0.0	3.175501
BaTC-1-cembreneA	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-21.66282	-0.0	4.06588	-21.66282	-0.0	4.06588
BaTC-2_3	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-21.326579	-0.0	4.065681	-21.326579	-0.0	4.065681
ErycarTC-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-21.320557	-0.0	3.78802	-21.320557	-0.0	3.78802
HcTC-4g	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.001052	0.0	-4.710212	-25.001052	0.0	-4.710212
g34691.t1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.001052	0.0	-4.710212	-25.001052	0.0	-4.710212
HcTC-1_1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.801301	0.0	-4.822643	-24.801301	0.0	-4.822643
HcTC-1_2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.801301	0.0	-4.822643	-24.801301	0.0	-4.822643
HcTC-1g	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.820562	0.0	-4.825227	-24.820562	0.0	-4.825227
g13994.t1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.813854	0.0	-4.790349	-24.813854	0.0	-4.790349
ClTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.517029	-0.0	3.755169	-22.517029	-0.0	3.755169
S_CdTC-3	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-21.585054	-0.0	3.584051	-21.585054	-0.0	3.584051
CdTC-4	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.178542	-0.0	3.631526	-22.178542	-0.0	3.631526
SCB-157_TC8	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-21.63319	-0.0	3.712891	-21.63319	-0.0	3.712891
S_ClTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.339043	0.0	-4.750851	-25.339043	0.0	-4.750851
ClTC-2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.338728	0.0	-4.749347	-25.338728	0.0	-4.749347
CdTC-2-cembrene-cembreneA-cembreneC	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.781146	0.0	-4.802378	-24.781146	0.0	-4.802378
CdTC-1a	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-23.505761	-0.0	3.817927	-23.505761	-0.0	3.817927
S_CdTC-4	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-23.487231	-0.0	3.818326	-23.487231	-0.0	3.818326
CdTC-1b	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.693543	0.0	-4.680268	-24.693543	0.0	-4.680268
CdTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.709435	0.0	-4.680258	-24.709435	0.0	-4.680258
S_PsTC-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.795789	-0.0	3.723572	-22.795789	-0.0	3.723572
CsTC-2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.872146	-0.0	3.71026	-22.872146	-0.0	3.71026
SCB-157_TC5	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-23.353234	-0.0	3.8963	-23.353234	-0.0	3.8963
SCB-144_TC4	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.840366	-0.0	3.724547	-22.840366	-0.0	3.724547
SCB-157_TC6	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-23.319227	-0.0	3.769744	-23.319227	-0.0	3.769744
S_RsTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.992296	0.0	-4.728434	-24.992296	0.0	-4.728434
SCB-144_TC2	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-24.905936	0.0	-4.681267	-24.905936	0.0	-4.681267
SCB-144_TC1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.423241	0.0	-4.670634	-25.423241	0.0	-4.670634
SCB-157_TC1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.330853	0.0	-4.655958	-25.330853	0.0	-4.655958
gCspTC-1	coral		ref:coral:tps_subclade_3	lda_reference_subclade_spread	LD1	LD2	LD3	-25.201177	0.0	-4.598956	-25.201177	0.0	-4.598956
XsTC-1_1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-21.893774	-0.0	3.778284	-21.893774	-0.0	3.778284
XsTC-1_2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-21.884252	-0.0	3.779495	-21.884252	-0.0	3.779495
S_EsTC-1	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.529417	-0.0	4.206951	-22.529417	-0.0	4.206951
NA-047_TC2	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-23.540455	-0.0	3.930363	-23.540455	-0.0	3.930363
gGvTC-8	coral		ref:coral:tps_subclade_4	lda_reference_subclade_spread	LD1	LD2	LD3	-22.233746	-0.0	3.992248	-22.233746	-0.0	3.992248
