sequence_id	candidate_group	predicted_source	nearest_reference_source	nearest_distance	embedding_group	embedding_method	axis1	axis2	axis3	pc1	pc2	pc3
all_tps|SRR13068648_NODE_17151_length_1903_cov_21.417476_g9532_i0_1	candidate	coral	coral	0.028293	candidate	lda_reference_subclade_spread	16.658524	0.668303	4.505897	16.658524	0.668303	4.505897
all_tps|SRR15421489_NODE_43178_length_1425_cov_20.694767_g16932_i0_1	candidate	coral	coral	0.024245	candidate	lda_reference_subclade_spread	14.725214	0.77514	4.546984	14.725214	0.77514	4.546984
all_tps|SRR15783032_NODE_29565_length_1834_cov_19.863714_g20238_i0_1	candidate	coral	coral	0.002579	candidate	lda_reference_subclade_spread	16.016293	0.905319	4.379789	16.016293	0.905319	4.379789
all_tps|SRR12876613_NODE_4686_length_1645_cov_18.020677_g4683_i0_2	candidate	coral	coral	0.045449	candidate	lda_reference_subclade_spread	16.727383	0.504282	4.60557	16.727383	0.504282	4.60557
all_tps|SRR17260582_NODE_25295_length_1625_cov_14.597938_g11165_i0_1	candidate	coral	coral	0.028216	candidate	lda_reference_subclade_spread	15.66162	0.700395	4.154473	15.66162	0.700395	4.154473
all_tps|ERR4669814_NODE_28423_length_2113_cov_14.561047_g14889_i0_1	candidate	coral	coral	0.020485	candidate	lda_reference_subclade_spread	16.14635	0.750657	4.250582	16.14635	0.750657	4.250582
all_tps|ERR4669814_NODE_2575_length_6439_cov_14.400469_g623_i2_4	candidate	coral	coral	0.149192	candidate	lda_reference_subclade_spread	16.112975	0.841569	4.420767	16.112975	0.841569	4.420767
all_tps|SRR12573944_NODE_9952_length_2159_cov_12.348341_g7958_i0_1	candidate	coral	coral	0.022717	candidate	lda_reference_subclade_spread	14.465818	0.64301	4.255358	14.465818	0.64301	4.255358
all_tps|SRR15783032_NODE_54800_length_1142_cov_12.321796_g11615_i3_1	candidate	coral	coral	0.279047	candidate	lda_reference_subclade_spread	10.115244	0.251609	4.55683	10.115244	0.251609	4.55683
all_tps|SRR15421489_NODE_43185_length_1425_cov_12.231105_g16935_i0_1	candidate	coral	coral	0.161251	candidate	lda_reference_subclade_spread	15.19692	0.678284	4.669795	15.19692	0.678284	4.669795
all_tps|ERR4669814_NODE_34617_length_1857_cov_11.884956_g18826_i0_1	candidate	coral	coral	0.010157	candidate	lda_reference_subclade_spread	14.563493	0.78892	4.087027	14.563493	0.78892	4.087027
all_tps|ERR3026435_NODE_11870_length_1607_cov_11.217997_g9475_i0_1	candidate	coral	coral	0.0	candidate	lda_reference_subclade_spread	15.317965	0.546266	4.627794	15.317965	0.546266	4.627794
